date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018-12-04,sz.000100,2.5300,2.5500,2.5200,2.5400,2.5400,44038129,111534933.0100,3,0.375498,1,0.000000,10.596248,1.151373,0.308106,-8.437532,0
2018-12-05,sz.000100,2.5100,2.5400,2.5000,2.5300,2.5400,38586261,97225215.0900,3,0.329012,1,-0.393700,10.554531,1.146840,0.306893,-8.404314,0
2018-12-06,sz.000100,2.5100,2.5200,2.4800,2.4900,2.5300,47542193,118721391.8500,3,0.405376,1,-1.581026,10.387661,1.128708,0.302041,-8.271439,0
2018-12-07,sz.000100,2.4900,2.5600,2.4900,2.5600,2.4900,67843318,171895286.9500,3,0.578476,1,2.811242,10.679683,1.160439,0.310532,-8.503970,0
2018-12-10,sz.000100,2.5400,2.5400,2.4000,2.4100,2.5600,143604513,352982937.4900,3,1.224466,1,-5.859369,10.053921,1.092444,0.292337,-8.005690,0
2018-12-11,sz.000100,2.4100,2.4300,2.3900,2.4200,2.4100,42015503,101253893.7100,3,0.358252,1,0.414937,10.095638,1.096977,0.293550,-8.038909,0
2018-12-12,sz.000100,2.4200,2.4300,2.3900,2.4300,2.4200,46570521,112144152.6800,3,0.397091,1,0.413223,10.137356,1.101510,0.294763,-8.072127,0
2018-12-13,sz.000100,2.4200,2.4600,2.4000,2.4400,2.4300,55367953,134907406.3700,3,0.472103,1,0.411522,10.179073,1.106043,0.295976,-8.105346,0
2018-12-14,sz.000100,2.4300,2.4500,2.3900,2.4500,2.4400,61370625,148155679.5000,3,0.523286,1,0.409836,10.220791,1.110576,0.297189,-8.138565,0
2018-12-17,sz.000100,2.4300,2.4500,2.4000,2.4500,2.4500,44789626,108698219.1000,3,0.381906,1,0.000000,10.220791,1.110576,0.297189,-8.138565,0
2018-12-18,sz.000100,2.4300,2.4500,2.4200,2.4300,2.4500,40325401,98216885.9400,3,0.343841,1,-0.816326,10.137356,1.101510,0.294763,-8.072127,0
2018-12-19,sz.000100,2.4400,2.4400,2.4100,2.4200,2.4300,25436747,61756254.4000,3,0.216890,1,-0.411522,10.095638,1.096977,0.293550,-8.038909,0
2018-12-20,sz.000100,2.4100,2.4300,2.4000,2.4100,2.4200,30270578,73077836.9400,3,0.258107,1,-0.413223,10.053921,1.092444,0.292337,-8.005690,0
2018-12-21,sz.000100,2.4000,2.4100,2.3800,2.4000,2.4100,31000766,74147963.7200,3,0.264333,1,-0.414937,10.012203,1.087911,0.291124,-7.972471,0
2018-12-24,sz.000100,2.3800,2.4200,2.3700,2.4000,2.4000,28811194,69040850.6000,3,0.245663,1,0.000000,10.012203,1.087911,0.291124,-7.972471,0
2018-12-25,sz.000100,2.3800,2.4200,2.3300,2.4100,2.4000,53258846,126270781.0500,3,0.454120,1,0.416666,10.053921,1.092444,0.292337,-8.005690,0
2018-12-26,sz.000100,2.4000,2.4200,2.3800,2.4000,2.4100,32677292,78415127.5100,3,0.278628,1,-0.414937,10.012203,1.087911,0.291124,-7.972471,0
2018-12-27,sz.000100,2.4200,2.4300,2.4000,2.4200,2.4000,44243760,106686441.9300,3,0.377251,1,0.833333,10.095638,1.096977,0.293550,-8.038909,0
2018-12-28,sz.000100,2.4100,2.4500,2.4000,2.4500,2.4200,46340184,112551365.1000,3,0.395127,1,1.239668,10.220791,1.110576,0.297189,-8.138565,0
2019-01-02,sz.000100,2.4600,2.5300,2.4500,2.5100,2.4500,89051427,222807637.0900,3,0.759311,1,2.448977,10.471096,1.137774,0.304467,-8.337876,0
